Chase Young, EDGE, Ohio State
Joe Burrow, QB, LSU
Jerry Jeudy, WR, Alabama
Jeff Okudah, CB, Ohio State
Isaiah Simmons, LB, Clemson
Derrick Brown, IDL, Auburn
Tua Tagovailoa, QB, Alabama
Jedrick Wills Jr., OT, Alabama
CeeDee Lamb, WR, Oklahoma
A.J. Epenesa, EDGE, Iowa
Henry Ruggs III, WR, Alabama
Tee Higgins, WR, Clemson
Javon Kinlaw, IDL, South Carolina
Andrew Thomas, OT, Georgia
Grant Delpit, S, LSU
D'Andre Swift, RB, Georgia
Tristan Wirfs, OT, Iowa
Kenneth Murray, LB, Oklahoma
J.K. Dobbins, RB, Ohio State
Terrell Lewis, EDGE, Alabama
CJ Henderson, CB, Florida
Paulson Adebo, CB, Stanford
Kristian Fulton, CB, LSU
Laviska Shenault Jr., WR, Colorado
DeVonta Smith, WR, Alabama
Jonathan Taylor, RB, Wisconsin
Yetur Gross-Matos, EDGE, Penn State
Justin Herbert, QB, Oregon
Trevon Diggs, CB, Alabama
Najee Harris, RB, Alabama
K'Lavon Chaisson, EDGE, LSU
Xavier McKinney, S, Alabama
Julian Okwara, EDGE, Notre Dame
Shaun Wade, CB, Ohio State
Jeff Gladney, CB, TCU
Ashtyn Davis, S, California
Zack Baun, EDGE, Wisconsin
Donovan Peoples-Jones, WR, Michigan
Gabriel Davis, WR, UCF
Justin Jefferson, WR, LSU
Tyler Biadasz, IOL, Wisconsin
Austin Jackson, OT, USC
Brandon Aiyuk, WR, Arizona State
Michael Pittman Jr., WR, USC
Jordan Love, QB, Utah State
Jacob Eason, QB, Washington
Chuba Hubbard, RB, Oklahoma State
Brycen Hopkins, TE, Purdue
Malik Harrison, LB, Ohio State
Josh Jones, OT, Houston
Damon Arnette, CB, Ohio State
Alex Leatherwood, OT, Alabama
Sage Surratt, WR, Wake Forest
KJ Hamler, WR, Penn State
Creed Humphrey, IOL, Oklahoma
A.J. Terrell, CB, Clemson
Hunter Bryant, TE, Washington
Justin Madubuike, IDL, Texas A&M
Travis Etienne, RB, Clemson
Neville Gallimore, IDL, Oklahoma
Jake Fromm, QB, Georgia
John Simpson, IOL, Clemson
Matt Hennessy, IOL, Temple
Matt Peart, OT, UConn
Marlon Davidson, EDGE, Auburn
Jabari Zuniga, EDGE, Florida
Bryan Edwards, WR, South Carolina
Cam Akers, RB, Florida State
Ben Bredeson, IOL, Michigan
Bradlee Anae, EDGE, Utah
Jaylon Johnson, CB, Utah
Jonathan Greenard, EDGE, Florida
Jordyn Brooks, LB, Texas Tech
Nick Harris, IOL, Washington
Lynn Bowden Jr., WR, Kentucky
Jalen Hurts, QB, Oklahoma
Curtis Weaver, EDGE, Boise State
Charleston Rambo, WR, Oklahoma
Richard LeCounte, S, Georgia
Jared Pinkney, TE, Vanderbilt
Anfernee Jennings, EDGE, Alabama
Bryce Hall, CB, Virginia
Cameron Dantzler, CB, Mississippi State
Monty Rice, LB, Georgia
Terrell Burgess, CB, Utah
Raekwon Davis, IDL, Alabama
Chase Claypool, WR, Notre Dame
Devin Duvernay, WR, Texas
Ke'Shawn Vaughn, RB, Vanderbilt
Brandon Jones, S, Texas
Troy Dye, LB, Oregon
Evan Weaver, LB, California
Darrell Taylor, EDGE, Tennessee
Markus Bailey, LB, Purdue
Prince Tega Wanogho, OT, Auburn
Juwan Johnson, WR, Oregon
Zack Moss, RB, Utah
Ross Blacklock, IDL, TCU
Mekhi Becton, OT, Louisville
Shane Lemieux, IOL, Oregon
